time,leftVelocity,rightVelocity,leftPosition,rightPosition,x,y,
22.2,2.17863,1.66137,65.36935,68.50065,32.13457,60.78879,
22.3,2.20243,1.63757,65.58959,68.66441,32.07192,60.97028,
22.4,2.22099,1.61901,65.81169,68.82631,32.01036,61.15214,
22.5,2.23508,1.60492,66.03520,68.98680,31.94996,61.33439,
22.6,2.24534,1.59466,66.25974,69.14626,31.89073,61.51703,
22.7,2.25233,1.58767,66.48497,69.30503,31.83273,61.70006,
22.8,2.25655,1.58345,66.71062,69.46338,31.77596,61.88348,
22.9,2.25840,1.58160,66.93646,69.62154,31.72043,62.06727,
23.0,2.25826,1.58174,67.16229,69.77971,31.66614,62.25144,
23.1,2.25644,1.58356,67.38794,69.93806,31.61310,62.43596,
23.2,2.25322,1.58678,67.61326,70.09674,31.56129,62.62084,
23.3,2.24881,1.59119,67.83814,70.25586,31.51069,62.80605,
23.4,2.24344,1.59656,68.06248,70.41552,31.46129,62.99159,
23.5,2.23611,1.60389,68.28609,70.57591,31.41307,63.17744,
23.6,2.22666,1.61334,68.50876,70.73724,31.36599,63.36357,
23.7,2.21740,1.62260,68.73050,70.89950,31.32002,63.54999,
23.8,2.20834,1.63166,68.95133,71.06267,31.27512,63.73667,
23.9,2.19947,1.64053,69.17128,71.22672,31.23126,63.92359,
24.0,2.19078,1.64922,69.39036,71.39164,31.18842,64.11075,
24.1,2.18228,1.65772,69.60859,71.55741,31.14656,64.29813,
24.2,2.17395,1.66605,69.82598,71.72402,31.10566,64.48572,
24.3,2.16579,1.67421,70.04256,71.89144,31.06567,64.67351,
24.4,2.15781,1.68219,70.25834,72.05966,31.02658,64.86149,
24.5,2.15001,1.68999,70.47334,72.22866,30.98836,65.04965,
24.6,2.14238,1.69762,70.68758,72.39842,30.95097,65.23797,
24.7,2.13493,1.70507,70.90107,72.56893,30.91439,65.42646,
24.8,2.12765,1.71235,71.11384,72.74016,30.87859,65.61509,
24.9,2.12055,1.71945,71.32589,72.91211,30.84356,65.80387,
